formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description
Kumkumadi Anti-Ageing Thailam,"skin aging wrinkles dull skin pigmentation dark spots","saffron herbal oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","improves complexion reduces wrinkles and enhances skin glow"
Laghu Vishagarbha Taila,"joint pain arthritis inflammation stiffness swelling","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","relieves joint pain reduces inflammation and improves mobility"
Lakshadi Taila,"fractures bone weakness joint pain inflammation","laksha herbal oil","prepare by boiling herbs in oil base","external use","taila","","orthopedist","strengthens bones supports healing and reduces pain"
Madhuyashtyadi Thailam,"skin disorders wounds burns inflammation infection","licorice herbal oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","heals wounds reduces inflammation and improves skin health"
Maha Bhringraj Thailam,"hair fall dandruff premature greying scalp weakness","bhringraj herbal oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","promotes hair growth reduces hair fall and improves scalp health"
Maha Chandanadi Thailam,"burning sensation skin disorders inflammation itching","sandalwood herbal oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","cools body reduces inflammation and improves skin health"
Maha Vishagarbha Taila,"joint pain arthritis inflammation stiffness nerve disorders","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","relieves severe pain reduces inflammation and supports nerves"
Mahamarichyadi Taila,"skin disorders itching infection inflammation dandruff","maricha herbal oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","treats skin diseases reduces itching and improves scalp health"
Mahamasha Thailam,"joint pain paralysis nerve disorders muscle weakness stiffness","masha herbal oil","prepare by boiling herbs in oil base","external use","taila","","neurologist","strengthens muscles supports nerves and improves mobility"
Mahanarayana Thailam,"joint pain arthritis muscle pain nerve disorders stiffness","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","relieves pain improves mobility and supports joints"
Malatyadi Tailam,"skin disorders wounds ulcers infection inflammation","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","dermatologist","heals wounds treats skin diseases and reduces inflammation"
Manjishtadi Thailam,"skin disorders pigmentation acne inflammation toxin accumulation","manjistha herbal oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","purifies skin reduces pigmentation and improves complexion"
Marichadi Thailam,"skin disorders itching infection inflammation dandruff","maricha herbal oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","treats skin issues reduces itching and improves scalp health"
Naadivranhar Taila,"wounds ulcers infection inflammation skin disorders","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician","heals wounds reduces infection and promotes tissue repair"
Nagaradi Thailam,"joint pain arthritis inflammation stiffness swelling","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","relieves pain reduces inflammation and improves mobility"
Nalpamaradi Thailam,"skin disorders pigmentation tan dull skin itching","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","dermatologist","improves complexion reduces pigmentation and enhances skin glow"
Narayana Taila,"joint pain arthritis muscle pain nerve disorders stiffness","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","relieves pain improves mobility and supports nerves"
Neelibhringadi Taila,"hair fall dandruff premature greying scalp issues","neeli bhringraj herbs oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","promotes hair growth reduces dandruff and prevents greying"
Nimbadi Thailam,"skin disorders itching infection acne inflammation","neem herbal oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","treats skin diseases reduces infection and improves skin health"
Nimbamritadi Eranda Tailam,"skin disorders inflammation itching toxin accumulation","neem giloy castor oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","detoxifies skin reduces inflammation and treats disorders"
Nirgundi Thailam,"joint pain arthritis swelling inflammation stiffness","nirgundi herbal oil","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","reduces swelling relieves pain and improves mobility"
Nisosiradi Thailam,"burning sensation skin disorders inflammation itching","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","dermatologist","cools body reduces inflammation and improves skin health"
Nonganadi Taila,"joint pain arthritis inflammation stiffness swelling","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","relieves joint pain reduces inflammation and improves mobility"
Panchamla Thailam,"joint pain arthritis stiffness inflammation swelling","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","reduces stiffness relieves pain and improves mobility"
Panchasneha Taila,"joint pain muscle pain dryness stiffness inflammation","oil blend of five sneha","prepare by combining oils and processing herbs","external use","taila","","general physician orthopedist","lubricates joints reduces pain and improves flexibility"
Panchavalkaladi Taila,"wounds ulcers infection inflammation skin disorders","bark herbal blend oil","prepare by boiling herbs in oil base","external use","taila","","dermatologist","heals wounds reduces infection and improves skin health"
Panchgun Tailam,"joint pain arthritis inflammation swelling stiffness","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","relieves pain reduces inflammation and improves mobility"
Paranthyadi Thailam,"skin disorders itching infection inflammation wounds","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","dermatologist","treats skin diseases heals wounds and reduces inflammation"
Parinatakeryadi Taila,"hair fall dandruff scalp weakness premature greying","herbal coconut oil","prepare by boiling herbs in coconut oil","external use","taila","","dermatologist","strengthens hair reduces hair fall and improves scalp health"
Parinathakeryadiksheeradi Thailam,"hair fall dandruff scalp dryness weakness","herbal milk oil blend","prepare by boiling herbs in milk and oil","external use","taila","","dermatologist","nourishes scalp improves hair strength and reduces dryness"
Peedashamak Taila,"pain inflammation joint pain muscle pain stiffness","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician orthopedist","relieves pain reduces inflammation and improves mobility"
Pinda Thailam,"burning sensation inflammation skin disorders gout pain","herbal oil blend","prepare by boiling herbs in oil base","external use","taila","","general physician","cools body reduces inflammation and relieves pain"
