formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description,dosha
Karvir Taila,skin disorders wounds infection itching inflammation,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,heals wounds treats skin diseases and reduces infection,Pitta
Kasisadi Tailam,skin disorders pigmentation acne scars wounds,kasis herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,improves pigmentation heals wounds and reduces scars,Tridosha
Katutumbi Taila,ear disorders ear pain infection inflammation,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,ent specialist,relieves ear pain reduces infection and improves ear health,"Vata, Pitta"
Koshatakyadi Taila,sinusitis headache nasal congestion respiratory problems,herbal oil blend,prepare by boiling herbs in oil base,nasal use,taila,,ent specialist,clears sinuses relieves headache and improves breathing,Kapha
Kottamchukkadi Thailam,joint pain arthritis muscle pain inflammation stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain reduces inflammation and improves mobility,"Vata, Pitta"
Kottamchukkadi Thailam Oil,joint pain arthritis muscle pain inflammation stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,reduces pain improves mobility and supports joints,"Vata, Pitta"
Kshara Thailam,skin disorders warts ulcers infection inflammation,alkaline herbal oil,prepare using kshara with oil base,external use,taila,,dermatologist,removes warts treats ulcers and reduces infection,Pitta
Ksheerabala 101 Thailam,nerve disorders paralysis weakness joint pain insomnia,milk bala herbal oil,prepare by repeated processing with milk and herbs,external use,taila,,neurologist,strengthens nerves improves sleep and relieves pain,Vata
Ksheerabala Thailam,nerve disorders joint pain weakness insomnia,milk bala herbal oil,prepare by boiling herbs in milk and oil,external use,taila,,neurologist,supports nerves improves strength and promotes relaxation,Vata
Kumkumadi Anti-Ageing Thailam,skin aging wrinkles dull skin pigmentation dark spots,saffron herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,improves complexion reduces wrinkles and enhances skin glow,Tridosha
Laghu Vishagarbha Taila,joint pain arthritis inflammation stiffness swelling,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves joint pain reduces inflammation and improves mobility,"Vata, Pitta"
Lakshadi Taila,fractures bone weakness joint pain inflammation,laksha herbal oil,prepare by boiling herbs in oil base,external use,taila,,orthopedist,strengthens bones supports healing and reduces pain,Vata
Madhuyashtyadi Thailam,skin disorders wounds burns inflammation infection,licorice herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,heals wounds reduces inflammation and improves skin health,Pitta
Maha Bhringraj Thailam,hair fall dandruff premature greying scalp weakness,bhringraj herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,promotes hair growth reduces hair fall and improves scalp health,Vata
Maha Chandanadi Thailam,burning sensation skin disorders inflammation itching,sandalwood herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,cools body reduces inflammation and improves skin health,Pitta
Maha Vishagarbha Taila,joint pain arthritis inflammation stiffness nerve disorders,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves severe pain reduces inflammation and supports nerves,"Vata, Pitta"
Mahamarichyadi Taila,skin disorders itching infection inflammation dandruff,maricha herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases reduces itching and improves scalp health,Pitta
Mahamasha Thailam,joint pain paralysis nerve disorders muscle weakness stiffness,masha herbal oil,prepare by boiling herbs in oil base,external use,taila,,neurologist,strengthens muscles supports nerves and improves mobility,Vata
Mahanarayana Thailam,joint pain arthritis muscle pain nerve disorders stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain improves mobility and supports joints,Vata
Malatyadi Tailam,skin disorders wounds ulcers infection inflammation,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,heals wounds treats skin diseases and reduces inflammation,Pitta
Manjishtadi Thailam,skin disorders pigmentation acne inflammation toxin accumulation,manjistha herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,purifies skin reduces pigmentation and improves complexion,Pitta
Marichadi Thailam,skin disorders itching infection inflammation dandruff,maricha herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin issues reduces itching and improves scalp health,Pitta
Naadivranhar Taila,wounds ulcers infection inflammation skin disorders,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician,heals wounds reduces infection and promotes tissue repair,Pitta
Nagaradi Thailam,joint pain arthritis inflammation stiffness swelling,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain reduces inflammation and improves mobility,"Vata, Pitta"
Nalpamaradi Thailam,skin disorders pigmentation tan dull skin itching,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,improves complexion reduces pigmentation and enhances skin glow,Tridosha
Narayana Taila,joint pain arthritis muscle pain nerve disorders stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain improves mobility and supports nerves,Vata
Neelibhringadi Taila,hair fall dandruff premature greying scalp issues,neeli bhringraj herbs oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,promotes hair growth reduces dandruff and prevents greying,Tridosha
Nimbadi Thailam,skin disorders itching infection acne inflammation,neem herbal oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases reduces infection and improves skin health,Pitta
Nimbamritadi Eranda Tailam,skin disorders inflammation itching toxin accumulation,neem giloy castor oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,detoxifies skin reduces inflammation and treats disorders,Pitta
Nirgundi Thailam,joint pain arthritis swelling inflammation stiffness,nirgundi herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,reduces swelling relieves pain and improves mobility,"Vata, Pitta"
Nisosiradi Thailam,burning sensation skin disorders inflammation itching,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,cools body reduces inflammation and improves skin health,Pitta
Nonganadi Taila,joint pain arthritis inflammation stiffness swelling,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves joint pain reduces inflammation and improves mobility,"Vata, Pitta"
Panchamla Thailam,joint pain arthritis stiffness inflammation swelling,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,reduces stiffness relieves pain and improves mobility,"Vata, Pitta"
Panchasneha Taila,joint pain muscle pain dryness stiffness inflammation,oil blend of five sneha,prepare by combining oils and processing herbs,external use,taila,,general physician orthopedist,lubricates joints reduces pain and improves flexibility,Vata
Panchavalkaladi Taila,wounds ulcers infection inflammation skin disorders,bark herbal blend oil,prepare by boiling herbs in oil base,external use,taila,,dermatologist,heals wounds reduces infection and improves skin health,Pitta
Panchgun Tailam,joint pain arthritis inflammation swelling stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain reduces inflammation and improves mobility,"Vata, Pitta"
Paranthyadi Thailam,skin disorders itching infection inflammation wounds,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases heals wounds and reduces inflammation,Pitta
Parinatakeryadi Taila,hair fall dandruff scalp weakness premature greying,herbal coconut oil,prepare by boiling herbs in coconut oil,external use,taila,,dermatologist,strengthens hair reduces hair fall and improves scalp health,Vata
Parinathakeryadiksheeradi Thailam,hair fall dandruff scalp dryness weakness,herbal milk oil blend,prepare by boiling herbs in milk and oil,external use,taila,,dermatologist,nourishes scalp improves hair strength and reduces dryness,Vata
Peedashamak Taila,pain inflammation joint pain muscle pain stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician orthopedist,relieves pain reduces inflammation and improves mobility,"Vata, Pitta"
Pinda Thailam,burning sensation inflammation skin disorders gout pain,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,general physician,cools body reduces inflammation and relieves pain,Pitta
Pippalyadi Thailam,respiratory problems cough asthma chest congestion,pippali herbal oil,prepare by boiling herbs in oil base,external use,taila,,general physician pulmonologist,supports lungs relieves cough and improves breathing,Kapha
Prabhanjana Vimardana Taila,joint pain arthritis paralysis nerve disorders stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,neurologist general physician,supports nerves improves mobility and relieves pain,Vata
Prabhanjana Vimardanam Thailam,joint pain arthritis paralysis nerve disorders stiffness,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,neurologist general physician,relieves pain supports nerves and improves mobility,Vata
Prasarini Thailam,joint pain arthritis stiffness nerve disorders paralysis,prasarini herbal oil,prepare by boiling herbs in oil base,external use,taila,,neurologist general physician,improves mobility supports nerves and relieves stiffness,Vata
Pullanyadi Taila,skin disorders itching infection inflammation wounds,herbal oil blend,prepare by boiling herbs in oil base,external use,taila,,dermatologist,treats skin diseases heals wounds and reduces inflammation,Pitta
